Probabilities,Predictions
0.48829836,1
0.3246287,1
0.003322411,0
0.05523481,1
0.03930693,0
0.0012994029,0
0.004954201,0
0.003322411,0
0.012529307,0
0.003322411,0
0.003322411,0
0.0039798543,0
0.27890337,1
0.38314417,1
0.003322411,0
0.0042700386,0
0.019508025,0
0.010183554,0
0.014379472,0
0.5197713,1
0.4366057,1
0.09981942,1
0.010424767,0
0.009451994,0
0.28945458,1
0.657407,1
0.012585687,0
0.0033407898,0
0.014379472,0
0.014379472,0
0.008130355,0
0.0039798543,0
0.010563371,0
0.09427027,1
0.64724493,1
0.04171903,0
0.0071553485,0
0.003322411,0
0.012658305,0
0.010563371,0
0.36740494,1
0.0091084875,0
0.023240257,0
0.012478967,0
0.5622929,1
0.01749473,0
0.66252357,1
0.029814096,0
0.32158577,1
0.012468926,0
0.017046845,0
0.054185618,1
0.4874276,1
0.3946737,1
0.003322411,0
0.003322411,0
0.6023061,1
0.0022719996,0
0.003322411,0
0.0042700386,0
0.003322411,0
0.0022719996,0
0.001564116,0
0.030966321,0
0.64769155,1
0.028498175,0
0.07709039,1
0.32580945,1
0.32844365,1
0.012719458,0
0.50777036,1
0.0039798543,0
0.0022719996,0
0.026067996,0
0.49681005,1
0.003322411,0
0.0071553485,0
0.003322411,0
0.0022719996,0
0.015139005,0
0.67407405,1
0.4535242,1
0.003322411,0
0.0012994029,0
0.022448372,0
0.0023462463,0
0.3327292,1
0.0872926,1
0.001564116,0
0.003322411,0
0.008562706,0
0.0042700386,0
0.2817285,1
0.003322411,0
0.003322411,0
0.003322411,0
0.0024587126,0
0.003053201,0
0.09981942,1
0.28999302,1
0.80632824,1
0.003322411,0
0.43025532,1
0.31281382,1
0.003322411,0
0.51498497,1
0.003322411,0
0.0022719996,0
0.31458953,1
0.02096882,0
0.003322411,0
0.531232,1
0.003322411,0
0.003322411,0
0.003053201,0
0.749763,1
0.008564767,0
0.013353085,0
0.6838438,1
0.0016994656,0
0.0037581609,0
0.014379472,0
0.09981942,1
0.36794695,1
0.0039798543,0
0.032311052,0
0.0022719996,0
0.4412774,1
0.0021291855,0
0.003073592,0
0.0057071117,0
0.05523481,1
0.09981942,1
0.0071553485,0
0.003322411,0
0.004954201,0
0.6075943,1
0.003322411,0
0.02335763,0
0.010563371,0
0.001348041,0
0.001348041,0
0.31583184,1
0.5377926,1
0.0071553485,0
0.017280513,0
0.2627076,1
0.28856206,1
0.0012994029,0
0.003322411,0
0.003322411,0
0.49155915,1
0.004954201,0
0.001564116,0
0.0107021015,0
0.60508436,1
0.003322411,0
0.69104004,1
0.58520496,1
0.54531455,1
0.5385837,1
0.70213705,1
0.6472628,1
0.39974335,1
0.003322411,0
0.33437088,1
0.5238084,1
0.003322411,0
0.015846886,0
0.40158433,1
0.003322411,0
0.0030344292,0
0.46851042,1
0.67061454,1
0.008130355,0
0.026544962,0
0.647376,1
0.64724493,1
0.003322411,0
0.004954201,0
0.01673889,0
0.012714004,0
0.0039798543,0
0.013974825,0
0.0129002,0
0.003322411,0
0.34005323,1
0.6082596,1
0.032372482,0
0.40859345,1
0.006133422,0
0.003322411,0
0.45945883,1
0.0039798543,0
0.0016694946,0
0.0030344292,0
0.003322411,0
0.003322411,0
0.4154181,1
0.003322411,0
0.0092942985,0
0.005260529,0
0.38306496,1
0.010516335,0
0.0022719996,0
0.6472908,1
0.44118828,1
0.09981942,1
0.0012994029,0
0.005961852,0
0.0042700386,0
0.003322411,0
0.023153603,0
0.001564116,0
0.003322411,0
0.012471039,0
0.022448372,0
0.0039798543,0
0.0033407898,0
0.0022719996,0
0.0091084875,0
0.010558245,0
0.016854588,0
0.393177,1
0.0061849616,0
0.0021558206,0
0.034674264,0
0.38686568,1
0.034660332,0
0.040920082,0
0.014379472,0
0.004954201,0
0.003322411,0
0.0016694946,0
0.43922436,1
0.004954201,0
0.09803913,1
0.014379472,0
0.013141776,0
0.10348759,1
0.0039798543,0
0.012490133,0
0.30319342,1
0.3206806,1
0.3512836,1
0.018633682,0
0.003322411,0
0.52813584,1
0.5546897,1
0.004195303,0
0.004954201,0
0.004954201,0
0.003322411,0
0.0039798543,0
0.5825106,1
0.64759725,1
0.13469641,1
0.0052216155,0
0.003322411,0
0.0022719996,0
0.013974825,0
0.003322411,0
0.0061849616,0
0.6606857,1
0.67137825,1
0.7803917,1
0.003322411,0
0.124086104,1
0.00949822,0
0.003322411,0
0.46546298,1
0.0012994029,0
0.6039541,1
